Beth Gylys
Istvn Gyngysi
Gza Gyni
Brion Gysin
Gabor G. Gyukics
Ha Seung Moo
Rafey Habib
Marilyn Hacker
Hadraawi
Hafez
Hai Zi
John Haines
Donald Hall
Arthur Hallam
Michael Hamburger
Han Yu
Hanshan
Thomas Hardy
Charles Harpur
Sir Theodore Wilson Harris
Jim Harrison
Tony Harrison
Carla Harryman
David Harsent
Paul Hartal
Peter Hrtling
Michael Hartnett
Julia Hartwig
Gwen Harwood
Alamgir Hashmi
Ahmet Haim
Robert Hass
Mohammed Abdullah Hassan
Olav H. Hauge
Gerhart Hauptmann
Stephen Hawes
Robert Stephen Hawker
George Campbell Hay
Gilbert Hay
Robert Hayden
William Hayley
Tony Haynes
Ha Seung-moo((born October 13
Seamus Heaney
Josephine D. Heard
John Heath-Stubbs
Anne Hbert
Anthony Hecht
Jennifer Michael Hecht
Allison Hedge Coke
Markus Hediger
Ilona Hegeds
John Hegley
Heinrich Heine
Lyn Hejinian
Acharya Hemachandra
Felicia Hemans
Marian Hemar
Essex Hemphill
Hamish Henderson
William Ernest Henley
Adrian Henri
Robert Henryson
Edward Herbert
George Herbert
Mary Herbert
Zbigniew Herbert
Johann Gottfried Herder
Miguel Hernndez
Herodas or Herondas
Antoine Hroet
Robert Herrick
Thomas Kibble Hervey
Hesiod
Phoebe Hesketh
Hermann Hesse
Dorothy Hewett
John Harold Hewitt
William Heyen
Thomas Heywood
Dick Higgins
Scott Hightower
Nzm Hikmet
Geoffrey Hill
Selima Hill
Hilda Hilst
Ellen Hinsey
Hipponax
Hirato Renkichi
Rozalie Hirs
Jane Hirshfield
George Parks Hitchcock
H. L. Hix
Marian Hluszkewycz
Thomas Hoccleve or Occleve
Michael Hofmann
Hugo von Hofmannsthal
James Hogg
David Holbrook
Friedrich Hlderlin
Margaret Holford
Barbara Holland
John Hollander
Matthew Hollis
Oliver Wendell Holmes
Homer
Thomas Hood
A. D. Hope
Gerard Manley Hopkins
Horace
George Moses Horton
Joan Houlihan
A. E. Housman
Libby Houston
Henry Howard
Richard Howard
Fanny Howe
Susan Howe
Hrotsvitha
Mohammad Nurul Huda
John Ceiriog Hughes
Langston Hughes
Ted Hughes
Richard Hugo
Victor Hugo
Vicente Huidobro
Lynda Hull
Keri Hulme
Thomas Ernest Hulme
Alexander Hume
Leigh Hunt
Sam Hunt
H Xun Hng
Aldous Huxley
Helen von Kolnitz Hyer
Khadijah Ibrahiim
Henrik Johan Ibsen
Ibycus
Ikkyu
Vojislav Ili
Gyula Illys
Maria Ilnicka
Tonya Ingram
Sir Dr. Muhammad Iqbal
Avetik Isahakyan
Sabit Ince
Inge Israel
Wacaw Iwaniuk
Jarosaw Iwaszkiewicz
Sergey Izgiyaev
FP Jac
Violet Jacob
Rolf Jacobsen
Ada Jafarey
Richard Jago
ura Jaki
James I
James VI and I
Christine James
Clive James
Ernst Jandl
Klemens Janicki
Janus Pannonius
Patricia Janus
Mark F. Jarman
Randall Jarrell
Bruno Jasieski
Mieczysaw Jastrun
Lszl Jvor
Robinson Jeffers
Vojin Jeli
Rod Jellema
Simon Jenko
Elizabeth Jennings
Jia Dao
John of the Cross
Edmund John
Georgia Douglas Johnson
Helene Johnson
James Weldon Johnson
Lionel Johnson
Emily Pauline Johnson
Samuel Johnson
George Benson Johnston
Anna Jkai
David Jones
Edward Smyth Jones
Richard Jones
Ben Jonson
June Jordan
Anthony Joseph
Jenny Joseph
Jovan Jovanovi Zmaj
James Joyce
Attila Jzsef
Frank Judge
Ferenc Juhsz
Gyula Juhsz
Jamal Jum
Donald Justice
Juvenal
Jumoke Verissimo
Jaydeep Sarangi
Abhay K
Kabir
Margit Kaffka
Klidsa
Kambar
Anna Kamieska
Kannadasan
Jim Kacian
Uuno Kailas
Chester Kallman
Lszl Klnoky
Klmn Kalocsay
Anna Kamieska
Ilya Kaminsky
Orhan Veli Kanik
Sndor Knydi
Jaan Kaplinski
Adeena Karasick
Vim Karenine
Gyrgy Kroly
Franciszek Karpiski
Mary Karr
Siavash Kasrai
Julia Kasdorf
Laura Kasischke
Jan Kasprowicz
Lajos Kassk
Erich Kstner
Jzsef Katona
Bob Kaufman
Shirley Kaufman
Rupi Kaur
Patrick Kavanagh
Nikos Kavvadias
Kazi Nazrul Islam
John Keats
Weldon Kees
Isabella Kelly
Arthur Kelton
Miranda Kennedy
Rann Kennedy
Walter Kennedy
X. J. Kennedy
Jane Kenyon
Gza Kpes
Jack Kerouac
Sidney Keyes
Keorapetse Kgositsile
Mimi Khalvati
Dilwar Khan
Khushal Khan Khattak
